quartet_id,ecovillage_name,latitude,longitude,population_documentary,founding_year,koppen_group_workbook,e8_not_urban_at_founding,e10_no_exogenous_shocks,website,existing_control_lat,existing_control_lon
146,Billen Cliff,-28.612343,153.133824,,1982,C,True,TRUE (not GEE-checked; researcher-verified),,-28.414116,153.33673
147,Arca Verde,-29.465191,-50.500893,,2005,C,True,TRUE (not GEE-checked; researcher-verified),,-29.100879,-50.633341
148,Villa Productiva Agroecológica JANUS,-38.74731,-68.11762,,2009,B,True,TRUE (not GEE-checked; researcher-verified),,-38.972625,-68.13145
149,Wisdom Forest,-1.055126,-77.895996,,2006,A,True,TRUE (not GEE-checked; researcher-verified),,-1.052041,-77.58532
150,Bambako Eco Farm / YIRABAH Gambia,13.405483,-15.767966,,2010,B,True,TRUE (not GEE-checked; researcher-verified),,13.330654,-16.010259
151,Honeyville Farm,-33.931231,24.764866,,2020,C,True,TRUE (not GEE-checked; researcher-verified),,-33.872566,25.028221
152,Yasna Sloboda,54.756701,37.875068,,2015,D,True,TRUE (not GEE-checked; researcher-verified),,54.76888,37.996379
153,Ecovillage Kovcheg,55.061992,36.128649,,2001,D,True,TRUE (not GEE-checked; researcher-verified),,55.207609,35.770937
154,Yeniköy,39.933706,26.165414,,2010,C,True,TRUE (not GEE-checked; researcher-verified),,39.974498,26.277327
155,Serene Eco Village,18.315759,73.624871,,2001,A,True,TRUE (not GEE-checked; researcher-verified),,18.297391,73.722415
156,Tasman Ecovillage,-43.093448,147.742258,,2013,C,True,TRUE (not GEE-checked; researcher-verified),,-42.819808,147.801153
157,Patanga,-30.438118,152.694861,,1979,C,True,TRUE (not GEE-checked; researcher-verified),,-30.47042,152.940369
158,Ecolieu Argoumbat,43.910315,0.98036,,2017,C,True,TRUE (not GEE-checked; researcher-verified),,43.933009,0.876668
159,Arterra Bizimodu,42.715388,-1.325865,,2014,C,True,TRUE (not GEE-checked; researcher-verified),,42.669069,-1.345455
160,Keuruu Ecovillage,62.306323,24.622492,,1998,D,True,TRUE (not GEE-checked; researcher-verified),,62.203563,24.782437
161,Zeleni Kruchi,49.425633,30.869992,,2012,D,True,TRUE (not GEE-checked; researcher-verified),,49.449808,30.716784
162,Damanhur,45.431012,7.757471,,1975,C,True,TRUE (not GEE-checked; researcher-verified),,45.557945,7.830989
163,Soheili Village,26.755264,55.787829,,2018,B,True,TRUE (not GEE-checked; researcher-verified),,26.73963,55.661757
164,Land van Aine,52.867512,7.088633,,2018,C,True,TRUE (not GEE-checked; researcher-verified),,53.199015,7.087184
165,Bali Ecovillage,-8.268028,115.249245,,2008,A,True,TRUE (not GEE-checked; researcher-verified),,-8.303242,115.220089
166,Pun Pun,19.214646,99.012448,,2005,A,True,TRUE (not GEE-checked; researcher-verified),,19.299291,99.188755
167,Neot Semadar,30.048671,35.026633,,1998,B,True,TRUE (not GEE-checked; researcher-verified),,30.903621,34.397062
168,Witchcliffe Ecovillage,-34.024552,115.104041,,2019,C,True,TRUE (not GEE-checked; researcher-verified),,-34.263387,115.124676
169,Almost Heaven Farms,26.88519,88.043108,,2015,C,True,TRUE (not GEE-checked; researcher-verified),,26.93048,87.690319
170,Baireni Ecovillage,26.981135,86.533428,,2012,C,True,TRUE (not GEE-checked; researcher-verified),,27.243992,86.284456
171,Blue Star Tapovan Trinidad,10.349735,-61.452866,,2012,A,False,TRUE (not GEE-checked; researcher-verified),,10.282388,-61.382822
172,Chambalabamba,-4.274831,-79.203292,,2012,A,True,TRUE (not GEE-checked; researcher-verified),,-4.364657,-79.176765
173,Chanchos de Monte,10.793327,-84.393727,,2019,A,True,TRUE (not GEE-checked; researcher-verified),,10.453156,-84.274345
174,Ecovila Piracanga,-14.214697,-38.995034,,2010,A,True,TRUE (not GEE-checked; researcher-verified),,-14.257663,-39.265282
175,Ecovila Raiz do Anuhmas,-22.791348,-47.05044,,2011,C,True,TRUE (not GEE-checked; researcher-verified),,-22.625981,-46.914141
176,Ecovila Santa Margarida,-22.789479,-47.069783,,2016,C,False,TRUE (not GEE-checked; researcher-verified),,-22.994257,-47.188068
177,Ecovillage Pentierebougou,13.086727,-7.940589,,2017,A,True,TRUE (not GEE-checked; researcher-verified),,13.135917,-8.048391
178,Jyagdi EcoVillage Chapakot Syangja Nepal,27.93584,83.878329,,2007,C,True,TRUE (not GEE-checked; researcher-verified),,28.037134000000002,83.799074
179,Habiba Community,29.010284,34.670396,,2007,B,True,TRUE (not GEE-checked; researcher-verified),,28.612207,34.557279
180,Fruit Haven EcoVillage Ecuador,-3.527531,-78.52983,,2016,A,True,TRUE (not GEE-checked; researcher-verified),,-3.204382,-78.434897
181,Valle de Sensaciones,36.95727,-3.136732,,2002,C,True,TRUE (not GEE-checked; researcher-verified),,37.01,-2.739901
182,Las Cañadas Bosque de Niebla,19.176892,-96.972307,,1995,C,True,TRUE (not GEE-checked; researcher-verified),,19.381856,-97.078764
183,Valdepielagos,40.760722,-3.465693,,2007,C,True,TRUE (not GEE-checked; researcher-verified),,40.867064,-3.057009
184,Earthship Greater World Community,36.494782,-105.752179,,1994,D,True,TRUE (not GEE-checked; researcher-verified),,36.438188,-105.544605
185,Wind Spirit Community,33.14686,-110.835378,,1995,B,True,TRUE (not GEE-checked; researcher-verified),,32.920233,-110.728282
186,TerraSante Village,32.111705,-111.254893,,2008,B,True,TRUE (not GEE-checked; researcher-verified),,31.952695,-110.933283
187,Catfarm,43.498233,3.657874,,2015,C,True,TRUE (not GEE-checked; researcher-verified),,43.518894,3.142473
188,Grishino Ecovillage,61.087028,34.0813,,1993,D,True,TRUE (not GEE-checked; researcher-verified),,61.425742,34.439842
189,Hurdal Ecovillage,60.411096,11.052614,,2002,D,True,TRUE (not GEE-checked; researcher-verified),,60.740503,11.36602
190,Nackunga Community,59.024944,17.564475,,2015,D,True,TRUE (not GEE-checked; researcher-verified),,58.921292,17.450216
191,Tuggelite Ecovillage,59.422998,13.438836,,1984,D,True,TRUE (not GEE-checked; researcher-verified),,59.38474,13.047757
192,Ecotopia Romania — Stanciova,45.862744,21.575335,,2000,D,True,TRUE (not GEE-checked; researcher-verified),,45.894688,21.880667
193,Schloss Tempelhof,49.126124,10.206793,,2010,D,True,TRUE (not GEE-checked; researcher-verified),,49.1941,10.369826
194,Possibility Alliance,40.074724,-92.458811,,2007,D,True,TRUE (not GEE-checked; researcher-verified),,40.147564,-92.378033
195,Rodnoe (Rodnoye) Settlement,55.915364,40.553046,,2003,D,True,TRUE (not GEE-checked; researcher-verified),,56.140901,40.87087
